"",workID,TitleHZ,poetID,NameHZ,role,Sex,relation
385,9,詠雪樓稿﹕五卷，卷首一卷，附一卷(清甘立媃撰),328,徐心田,跋作者,男,次子
384,9,詠雪樓稿﹕五卷，卷首一卷，附一卷(清甘立媃撰),328,徐心田,校閲,男,次子
482,9,詠雪樓稿﹕五卷，卷首一卷，附一卷(清甘立媃撰),1977,茹棻,像贊作者,男,None
481,9,詠雪樓稿﹕五卷，卷首一卷，附一卷(清甘立媃撰),4399,顧皋,墓志詺作者,男,None
680,9,詠雪樓稿﹕五卷，卷首一卷，附一卷(清甘立媃撰),5,甘立媃,序作者,女,自序
480,9,詠雪樓稿﹕五卷，卷首一卷，附一卷(清甘立媃撰),1951,劉彬士,墓志詺作者,男,None
123,9,詠雪樓稿﹕五卷，卷首一卷，附一卷(清甘立媃撰),5,甘立媃,主要作者,女,own
124,9,詠雪樓稿﹕五卷，卷首一卷，附一卷(清甘立媃撰),486,宋鎔,序作者,男,None
153,9,詠雪樓稿﹕五卷，卷首一卷，附一卷(清甘立媃撰),1968,王若閎,序作者,男,None
159,10,繡佛樓詩稿﹕二卷(清錢守璞撰),385,何褘,序作者,女,甥女
160,10,繡佛樓詩稿﹕二卷(清錢守璞撰),147,錢守璞,序作者,女,自序
296,10,繡佛樓詩稿﹕二卷(清錢守璞撰),386,沈鳳,題辭,女,None
364,10,繡佛樓詩稿﹕二卷(清錢守璞撰),210,袁綬,題辭,女,None
158,10,繡佛樓詩稿﹕二卷(清錢守璞撰),147,錢守璞,主要作者,女,own
179,11,曇花閣詩鈔﹕三集(清劉慧娟撰),400,戴鴻慈,序作者,男,None
180,11,曇花閣詩鈔﹕三集(清劉慧娟撰),401,梁煦南,序作者,男,suspicious
181,11,曇花閣詩鈔﹕三集(清劉慧娟撰),6,劉慧娟,序作者,女,自序
178,11,曇花閣詩鈔﹕三集(清劉慧娟撰),6,劉慧娟,主要作者,女,own
280,12,佩秋閣遺稿﹕二卷﹐詞稿﹕一卷﹐文稿﹕一卷(清吳茝撰),414,潘鍾瑞,題辭,男,None
71,12,佩秋閣遺稿﹕二卷﹐詞稿﹕一卷﹐文稿﹕一卷(清吳茝撰),413,汪鍾霖,跋作者,男,過繼的嗣子
70,12,佩秋閣遺稿﹕二卷﹐詞稿﹕一卷﹐文稿﹕一卷(清吳茝撰),412,汪芑,序作者,男,suspicious
69,12,佩秋閣遺稿﹕二卷﹐詞稿﹕一卷﹐文稿﹕一卷(清吳茝撰),411,汪鶴衢,序作者,男,suspicious
68,12,佩秋閣遺稿﹕二卷﹐詞稿﹕一卷﹐文稿﹕一卷(清吳茝撰),410,秦雲,序作者,女,None
65,12,佩秋閣遺稿﹕二卷﹐詞稿﹕一卷﹐文稿﹕一卷(清吳茝撰),238,吳茝,主要作者,女,own
67,12,佩秋閣遺稿﹕二卷﹐詞稿﹕一卷﹐文稿﹕一卷(清吳茝撰),409,馮桂芬,序作者,男,None
66,12,佩秋閣遺稿﹕二卷﹐詞稿﹕一卷﹐文稿﹕一卷(清吳茝撰),408,許玉瑑,序作者,男,None
144,13,繡餘吟﹕六卷﹐附詩餘一卷(清馮思慧撰),8,馮思慧,主要作者,女,own
145,13,繡餘吟﹕六卷﹐附詩餘一卷(清馮思慧撰),487,劉秉恬,序作者,男,丈夫
418,14,繡餘續草﹕五卷(清歸懋儀撰),332,魏文瀛,序作者,男,None
419,14,繡餘續草﹕五卷(清歸懋儀撰),167,歸懋儀,主要作者,女,own
425,14,繡餘續草﹕五卷(清歸懋儀撰),330,陶澍,序作者,男,None
154,14,繡餘續草﹕五卷(清歸懋儀撰),331,陳鑾,序作者,男,None
215,15,爨餘吟﹕二卷(清屠鏡心撰),356,傅隱蘭,題辭,女,None
9,15,爨餘吟﹕二卷(清屠鏡心撰),351,文廉,序作者,男,None
10,15,爨餘吟﹕二卷(清屠鏡心撰),352,張之縉,序作者,男,None
11,15,爨餘吟﹕二卷(清屠鏡心撰),353,耀曾,序作者,男,None
12,15,爨餘吟﹕二卷(清屠鏡心撰),360,任珮瑛,題辭,女,夫之從女
13,15,爨餘吟﹕二卷(清屠鏡心撰),361,萬秉,跋作者,男,None
14,15,爨餘吟﹕二卷(清屠鏡心撰),362,任謙吉,跋作者,男,suspicious
15,15,爨餘吟﹕二卷(清屠鏡心撰),363,任凱,跋作者,男,夫之從子
16,15,爨餘吟﹕二卷(清屠鏡心撰),359,任治,跋作者,男,子
205,15,爨餘吟﹕二卷(清屠鏡心撰),354,戴嘉瑞,題辭,男,None
206,15,爨餘吟﹕二卷(清屠鏡心撰),355,戴嘉玉,題辭,男,None
362,15,爨餘吟﹕二卷(清屠鏡心撰),357,于懿,題辭,女,None
8,15,爨餘吟﹕二卷(清屠鏡心撰),11,屠鏡心,主要作者,女,own
473,15,爨餘吟﹕二卷(清屠鏡心撰),229,鄧瑜,題辭,女,None
87,16,蓮因室詩集﹕二卷﹐詞集﹕一卷(清鄭蘭孫撰),366,錢士杓,序作者,男,None
86,16,蓮因室詩集﹕二卷﹐詞集﹕一卷(清鄭蘭孫撰),365,徐鴻謨,序作者,男,丈夫
85,16,蓮因室詩集﹕二卷﹐詞集﹕一卷(清鄭蘭孫撰),12,鄭蘭孫,主要作者,女,own
88,16,蓮因室詩集﹕二卷﹐詞集﹕一卷(清鄭蘭孫撰),12,鄭蘭孫,序作者,女,自序
313,16,蓮因室詩集﹕二卷﹐詞集﹕一卷(清鄭蘭孫撰),369,孫念培,題辭,男,None
378,16,蓮因室詩集﹕二卷﹐詞集﹕一卷(清鄭蘭孫撰),373,許庚身,題辭,男,None
89,16,蓮因室詩集﹕二卷﹐詞集﹕一卷(清鄭蘭孫撰),382,許樾身,跋作者,男,None
316,16,蓮因室詩集﹕二卷﹐詞集﹕一卷(清鄭蘭孫撰),375,孫煐,題辭,男,None
363,16,蓮因室詩集﹕二卷﹐詞集﹕一卷(清鄭蘭孫撰),308,俞樾,題辭,男,None
290,16,蓮因室詩集﹕二卷﹐詞集﹕一卷(清鄭蘭孫撰),310,秦緗業,題辭,男,None
391,16,蓮因室詩集﹕二卷﹐詞集﹕一卷(清鄭蘭孫撰),380,許之瑩,題辭,女,None
196,16,蓮因室詩集﹕二卷﹐詞集﹕一卷(清鄭蘭孫撰),381,張煒,題辭,女,None
381,16,蓮因室詩集﹕二卷﹐詞集﹕一卷(清鄭蘭孫撰),383,徐琪,附記作者,男,子
306,16,蓮因室詩集﹕二卷﹐詞集﹕一卷(清鄭蘭孫撰),372,楊昌濬,題辭,男,None
229,16,蓮因室詩集﹕二卷﹐詞集﹕一卷(清鄭蘭孫撰),377,顧琇瑩,題辭,女,None
259,16,蓮因室詩集﹕二卷﹐詞集﹕一卷(清鄭蘭孫撰),378,鍾維則,題辭,女,None
388,16,蓮因室詩集﹕二卷﹐詞集﹕一卷(清鄭蘭孫撰),374,許祐身,題辭,男,None
152,16,蓮因室詩集﹕二卷﹐詞集﹕一卷(清鄭蘭孫撰),239,俞繡孫,題辭,女,None
156,16,蓮因室詩集﹕二卷﹐詞集﹕一卷(清鄭蘭孫撰),370,孫因培,題辭,男,None
379,17,本朝名媛詩鈔﹕六卷(清胡孝思輯),474,胡孝思,凡例作者,男,own
304,17,本朝名媛詩鈔﹕六卷(清胡孝思輯),477,沈英,校閲,男,None
301,17,本朝名媛詩鈔﹕六卷(清胡孝思輯),476,沈蔚,校閲,男,None
19,17,本朝名媛詩鈔﹕六卷(清胡孝思輯),474,胡孝思,编輯,男,own
20,17,本朝名媛詩鈔﹕六卷(清胡孝思輯),475,朱珖,编輯,男,None
21,17,本朝名媛詩鈔﹕六卷(清胡孝思輯),474,胡孝思,序作者,男,自序
426,18,歷朝名媛詩詞﹕十二卷(清陸昶輯),480,陸昶,凡例作者,男,own
91,18,歷朝名媛詩詞﹕十二卷(清陸昶輯),481,王鳴盛,序作者,男,None
90,18,歷朝名媛詩詞﹕十二卷(清陸昶輯),480,陸昶,编輯,男,own
94,18,歷朝名媛詩詞﹕十二卷(清陸昶輯),483,程琰,序作者,男,None
95,18,歷朝名媛詩詞﹕十二卷(清陸昶輯),484,陸昌吉,跋作者,男,從子;姪子
96,18,歷朝名媛詩詞﹕十二卷(清陸昶輯),485,林萬棟,跋作者,男,None
92,18,歷朝名媛詩詞﹕十二卷(清陸昶輯),482,宋思敬,序作者,男,None
93,18,歷朝名媛詩詞﹕十二卷(清陸昶輯),480,陸昶,序作者,男,自序
99,19,古今女史﹕十二卷﹐詩集﹕八卷﹐附姓氏字里詳節﹕一卷(明趙世杰輯),270,趙如源,序作者,男,None
98,19,古今女史﹕十二卷﹐詩集﹕八卷﹐附姓氏字里詳節﹕一卷(明趙世杰輯),271,錢受益,序作者,男,None
649,19,古今女史﹕十二卷﹐詩集﹕八卷﹐附姓氏字里詳節﹕一卷(明趙世杰輯),268,趙世杰,凡例作者,男,own
97,19,古今女史﹕十二卷﹐詩集﹕八卷﹐附姓氏字里詳節﹕一卷(明趙世杰輯),268,趙世杰,编輯,男,own
399,20,泰州仲氏閨秀集合刻﹕七種(清仲蓮慶等撰),15,仲振宣,作者,女,suspicious
428,20,泰州仲氏閨秀集合刻﹕七種(清仲蓮慶等撰),2078,張貽鷮,作者,女,None
185,20,泰州仲氏閨秀集合刻﹕七種(清仲蓮慶等撰),469,仲振奎,序作者,男,從子;姪子
197,20,泰州仲氏閨秀集合刻﹕七種(清仲蓮慶等撰),14,仲振宜,作者,女,suspicious
400,20,泰州仲氏閨秀集合刻﹕七種(清仲蓮慶等撰),16,趙箋霞,作者,女,None
186,20,泰州仲氏閨秀集合刻﹕七種(清仲蓮慶等撰),16,趙箋霞,序作者,女,None
401,20,泰州仲氏閨秀集合刻﹕七種(清仲蓮慶等撰),17,洪湘蘭,作者,女,suspicious
193,20,泰州仲氏閨秀集合刻﹕七種(清仲蓮慶等撰),13,仲蓮慶,作者,女,own
427,20,泰州仲氏閨秀集合刻﹕七種(清仲蓮慶等撰),2077,仲貽鑾,作者,女,suspicious
168,21,"吳中女士詩鈔(清任兆麟輯,張滋蘭選)",28,任兆麟,编輯,男,None
360,21,"吳中女士詩鈔(清任兆麟輯,張滋蘭選)",112,尤澹僊,作者,女,None
407,21,"吳中女士詩鈔(清任兆麟輯,張滋蘭選)",90,江珠,作者,女,None
166,21,"吳中女士詩鈔(清任兆麟輯,張滋蘭選)",491,許寶善,序作者,男,None
398,21,"吳中女士詩鈔(清任兆麟輯,張滋蘭選)",1380,張允滋,作者,女,None
402,21,"吳中女士詩鈔(清任兆麟輯,張滋蘭選)",1380,張允滋,编輯,女,None
410,21,"吳中女士詩鈔(清任兆麟輯,張滋蘭選)",27,王瓊,作者,女,None
403,21,"吳中女士詩鈔(清任兆麟輯,張滋蘭選)",88,張芬,作者,女,None
404,21,"吳中女士詩鈔(清任兆麟輯,張滋蘭選)",19,陸瑛,作者,女,None
405,21,"吳中女士詩鈔(清任兆麟輯,張滋蘭選)",20,李媺,作者,女,None
411,21,"吳中女士詩鈔(清任兆麟輯,張滋蘭選)",28,任兆麟,序作者,男,None
429,21,"吳中女士詩鈔(清任兆麟輯,張滋蘭選)",2086,石鈞,題辭,男,None
167,21,"吳中女士詩鈔(清任兆麟輯,張滋蘭選)",490,潘奕雋,序作者,男,None
408,21,"吳中女士詩鈔(清任兆麟輯,張滋蘭選)",24,沈纕,作者,女,None
406,21,"吳中女士詩鈔(清任兆麟輯,張滋蘭選)",22,朱宗淑,作者,女,None
355,21,"吳中女士詩鈔(清任兆麟輯,張滋蘭選)",85,席蕙文,作者,女,own
409,21,"吳中女士詩鈔(清任兆麟輯,張滋蘭選)",26,沈持玉,作者,女,None
72,22,南湘室詩草﹕一卷﹐詩餘﹕一卷(姚倩、姚茞撰),29,姚倩,主要作者,女,own
73,22,南湘室詩草﹕一卷﹐詩餘﹕一卷(姚倩、姚茞撰),30,姚茝,主要作者,女,suspicious
3305,22,南湘室詩草﹕一卷﹐詩餘﹕一卷(姚倩、姚茞撰),1980,姚志鳳,作者,男,suspicious
3304,22,南湘室詩草﹕一卷﹐詩餘﹕一卷(姚倩、姚茞撰),438,林鵾翔,作者,男,None
3303,22,南湘室詩草﹕一卷﹐詩餘﹕一卷(姚倩、姚茞撰),2018,姚鴻慧,作者,女,姊
268,22,南湘室詩草﹕一卷﹐詩餘﹕一卷(姚倩、姚茞撰),438,林鵾翔,題辭,男,None
227,22,南湘室詩草﹕一卷﹐詩餘﹕一卷(姚倩、姚茞撰),440,朱紈,題辭,男,None
79,23,夢湘樓詩稿﹕二卷﹐詞稿﹕一卷﹔繭香館吟艸﹕一卷﹐繡餘詞草﹕一卷(清宗婉等撰),273,宗廷輔,序作者,男,從子;姪子
78,23,夢湘樓詩稿﹕二卷﹐詞稿﹕一卷﹔繭香館吟艸﹕一卷﹐繡餘詞草﹕一卷(清宗婉等撰),176,錢念生,作者,女,母
80,23,夢湘樓詩稿﹕二卷﹐詞稿﹕一卷﹔繭香館吟艸﹕一卷﹐繡餘詞草﹕一卷(清宗婉等撰),272,翁同龢,序作者,男,None
77,23,夢湘樓詩稿﹕二卷﹐詞稿﹕一卷﹔繭香館吟艸﹕一卷﹐繡餘詞草﹕一卷(清宗婉等撰),32,宗粲,作者,女,妹
76,23,夢湘樓詩稿﹕二卷﹐詞稿﹕一卷﹔繭香館吟艸﹕一卷﹐繡餘詞草﹕一卷(清宗婉等撰),175,宗婉,作者,女,own
75,24,閩川閨秀詩話﹕四卷(清梁章鉅撰),276,梁韻書,序作者,女,從妹
74,24,閩川閨秀詩話﹕四卷(清梁章鉅撰),275,梁章鉅,主要作者,男,own
37,25,閨秀詞話﹕四卷(雷瑨、雷瑊輯),285,雷瑨,编輯,男,own
38,25,閨秀詞話﹕四卷(雷瑨、雷瑊輯),284,雷瑊,编輯,男,None
18,26,閩川閨秀詩話續編﹕四卷(清丁芸輯),278,薛紹徽,序作者,女,None
417,26,閩川閨秀詩話續編﹕四卷(清丁芸輯),154,楊蘊輝,跋作者,女,None
17,26,閩川閨秀詩話續編﹕四卷(清丁芸輯),277,丁芸,编輯,男,own
373,26,閩川閨秀詩話續編﹕四卷(清丁芸輯),279,謝章鋌,墓志詺作者,男,None
61,28,青樓詩話﹕二卷(雷瑨輯),285,雷瑨,编輯,男,own
39,29,閨秀詩話﹕四卷(苕溪生輯),286,NaN,编輯,男,None
104,30,蘭閨寶錄﹕六卷(清惲珠輯),274,惲珠,编輯,女,own
105,30,蘭閨寶錄﹕六卷(清惲珠輯),274,惲珠,序作者,女,自序
184,31,芸香館遺詩﹕二卷(清那遜蘭保撰),266,盛昱,跋作者,男,None
183,31,芸香館遺詩﹕二卷(清那遜蘭保撰),265,李慈銘,序作者,男,None
182,31,芸香館遺詩﹕二卷(清那遜蘭保撰),305,那遜蘭保,主要作者,女,own
361,31,芸香館遺詩﹕二卷(清那遜蘭保撰),267,錫縝,題辭,男,None
147,32,繡餘吟稿﹕一卷(清袁棠撰),263,袁枚,序作者,男,從兄
146,32,繡餘吟稿﹕一卷(清袁棠撰),37,袁棠,主要作者,女,own
84,33,樓居小草﹕一卷(清袁杼撰),479,汪孟翊,序作者,男,None
83,33,樓居小草﹕一卷(清袁杼撰),263,袁枚,序作者,男,兄
82,33,樓居小草﹕一卷(清袁杼撰),38,袁杼,主要作者,女,own
450,33,樓居小草﹕一卷(清袁杼撰),3900,嚴長明,題辭,男,None
55,34,素文女子遺稿(清袁機撰),263,袁枚,跋作者,男,兄
661,34,素文女子遺稿(清袁機撰),263,袁枚,傳記作者,男,兄
54,34,素文女子遺稿(清袁機撰),39,袁機,主要作者,女,own
392,35,隨園女弟子詩選﹕六卷(清袁枚輯),202,席佩蘭,作者,女,own
462,35,隨園女弟子詩選﹕六卷(清袁枚輯),233,張玉珍,作者,女,None
477,35,隨園女弟子詩選﹕六卷(清袁枚輯),1544,吳瓊仙,作者,女,None
471,35,隨園女弟子詩選﹕六卷(清袁枚輯),3859,朱意珠,作者,女,None
472,35,隨園女弟子詩選﹕六卷(清袁枚輯),99,鮑之蕙,作者,女,None
474,35,隨園女弟子詩選﹕六卷(清袁枚輯),1697,盧元素,作者,女,None
469,35,隨園女弟子詩選﹕六卷(清袁枚輯),1667,陳淑蘭,作者,女,None
468,35,隨園女弟子詩選﹕六卷(清袁枚輯),877,王玉如,作者,女,None
467,35,隨園女弟子詩選﹕六卷(清袁枚輯),1161,錢林,作者,女,None
56,35,隨園女弟子詩選﹕六卷(清袁枚輯),263,袁枚,编輯,男,None
57,35,隨園女弟子詩選﹕六卷(清袁枚輯),264,汪穀,序作者,男,None
476,35,隨園女弟子詩選﹕六卷(清袁枚輯),165,王倩,作者,女,None
466,35,隨園女弟子詩選﹕六卷(清袁枚輯),119,嚴蕊珠,作者,女,None
470,35,隨園女弟子詩選﹕六卷(清袁枚輯),1895,王碧珠,作者,女,None
464,35,隨園女弟子詩選﹕六卷(清袁枚輯),209,孫雲鶴,作者,女,suspicious
463,35,隨園女弟子詩選﹕六卷(清袁枚輯),108,廖雲錦,作者,女,None
461,35,隨園女弟子詩選﹕六卷(清袁枚輯),106,駱綺蘭,作者,女,None
460,35,隨園女弟子詩選﹕六卷(清袁枚輯),104,金逸,作者,女,None
459,35,隨園女弟子詩選﹕六卷(清袁枚輯),243,孫雲鳳,作者,女,suspicious
475,35,隨園女弟子詩選﹕六卷(清袁枚輯),1415,戴蘭英,作者,女,None
465,35,隨園女弟子詩選﹕六卷(清袁枚輯),110,陳長生,作者,女,None
395,36,畹香樓詩集﹕二卷(清梁蘭漪撰),547,梁蘭漪,主要作者,女,own
169,36,畹香樓詩集﹕二卷(清梁蘭漪撰),492,孫星華,序作者,男,None
243,37,國朝閨閣詩鈔﹕一百種一百卷(清蔡殿齊輯),59,何玉瑛,作者,女,None
276,37,國朝閨閣詩鈔﹕一百種一百卷(清蔡殿齊輯),652,沈綺,作者,女,None
241,37,國朝閨閣詩鈔﹕一百種一百卷(清蔡殿齊輯),118,何佩玉,作者,女,None
240,37,國朝閨閣詩鈔﹕一百種一百卷(清蔡殿齊輯),55,賀桂,作者,女,None
277,37,國朝閨閣詩鈔﹕一百種一百卷(清蔡殿齊輯),91,閔肅英,作者,女,None
244,37,國朝閨閣詩鈔﹕一百種一百卷(清蔡殿齊輯),89,胡佩芳,作者,女,None
264,37,國朝閨閣詩鈔﹕一百種一百卷(清蔡殿齊輯),108,廖雲錦,作者,女,None
273,37,國朝閨閣詩鈔﹕一百種一百卷(清蔡殿齊輯),60,馬士琪,作者,女,None
272,37,國朝閨閣詩鈔﹕一百種一百卷(清蔡殿齊輯),131,陸韻梅,作者,女,None
262,37,國朝閨閣詩鈔﹕一百種一百卷(清蔡殿齊輯),68,李毓清,作者,女,suspicious
245,37,國朝閨閣詩鈔﹕一百種一百卷(清蔡殿齊輯),1095,胡慎儀,作者,女,None
246,37,國朝閨閣詩鈔﹕一百種一百卷(清蔡殿齊輯),111,蔣徽,作者,女,suspicious
250,37,國朝閨閣詩鈔﹕一百種一百卷(清蔡殿齊輯),586,張學象,作者,女,None
251,37,國朝閨閣詩鈔﹕一百種一百卷(清蔡殿齊輯),90,江珠,作者,女,None
412,37,國朝閨閣詩鈔﹕一百種一百卷(清蔡殿齊輯),288,蔡殿齊,序作者,男,None
253,37,國朝閨閣詩鈔﹕一百種一百卷(清蔡殿齊輯),95,金若蘭,作者,女,None
255,37,國朝閨閣詩鈔﹕一百種一百卷(清蔡殿齊輯),104,金逸,作者,女,None
256,37,國朝閨閣詩鈔﹕一百種一百卷(清蔡殿齊輯),100,孔璐華,作者,女,None
258,37,國朝閨閣詩鈔﹕一百種一百卷(清蔡殿齊輯),52,李國梅,作者,女,suspicious
260,37,國朝閨閣詩鈔﹕一百種一百卷(清蔡殿齊輯),81,李含章,作者,女,suspicious
274,37,國朝閨閣詩鈔﹕一百種一百卷(清蔡殿齊輯),293,梅士蘭,校閲,男,None
278,37,國朝閨閣詩鈔﹕一百種一百卷(清蔡殿齊輯),92,潘素心,作者,女,None
212,37,國朝閨閣詩鈔﹕一百種一百卷(清蔡殿齊輯),72,方芳佩,作者,女,None
281,37,國朝閨閣詩鈔﹕一百種一百卷(清蔡殿齊輯),48,柴靜儀,作者,女,None
327,37,國朝閨閣詩鈔﹕一百種一百卷(清蔡殿齊輯),139,萬夢丹,作者,女,None
328,37,國朝閨閣詩鈔﹕一百種一百卷(清蔡殿齊輯),82,王采薇,作者,女,None
329,37,國朝閨閣詩鈔﹕一百種一百卷(清蔡殿齊輯),127,汪端,作者,女,None
331,37,國朝閨閣詩鈔﹕一百種一百卷(清蔡殿齊輯),47,王慧,作者,女,None
332,37,國朝閨閣詩鈔﹕一百種一百卷(清蔡殿齊輯),134,王繼藻,作者,女,None
333,37,國朝閨閣詩鈔﹕一百種一百卷(清蔡殿齊輯),116,汪蘆英,作者,女,None
334,37,國朝閨閣詩鈔﹕一百種一百卷(清蔡殿齊輯),130,王璊,作者,女,None
335,37,國朝閨閣詩鈔﹕一百種一百卷(清蔡殿齊輯),165,王倩,作者,女,None
367,37,國朝閨閣詩鈔﹕一百種一百卷(清蔡殿齊輯),240,朱中楣,作者,女,None
369,37,國朝閨閣詩鈔﹕一百種一百卷(清蔡殿齊輯),86,楊惺惺,作者,女,None
366,37,國朝閨閣詩鈔﹕一百種一百卷(清蔡殿齊輯),101,楊舫,作者,女,None
339,37,國朝閨閣詩鈔﹕一百種一百卷(清蔡殿齊輯),123,王素雯,作者,女,None
341,37,國朝閨閣詩鈔﹕一百種一百卷(清蔡殿齊輯),79,汪韞玉,作者,女,None
343,37,國朝閨閣詩鈔﹕一百種一百卷(清蔡殿齊輯),528,林以寧,作者,女,None
347,37,國朝閨閣詩鈔﹕一百種一百卷(清蔡殿齊輯),62,吳若冰,作者,女,None
348,37,國朝閨閣詩鈔﹕一百種一百卷(清蔡殿齊輯),524,吳山,作者,女,None
359,37,國朝閨閣詩鈔﹕一百種一百卷(清蔡殿齊輯),112,尤澹僊,作者,女,None
352,37,國朝閨閣詩鈔﹕一百種一百卷(清蔡殿齊輯),125,吳芸華,作者,女,None
358,37,國朝閨閣詩鈔﹕一百種一百卷(清蔡殿齊輯),44,徐昭華,作者,女,None
354,37,國朝閨閣詩鈔﹕一百種一百卷(清蔡殿齊輯),85,席蕙文,作者,女,None
365,37,國朝閨閣詩鈔﹕一百種一百卷(清蔡殿齊輯),37,袁棠,作者,女,None
279,37,國朝閨閣詩鈔﹕一百種一百卷(清蔡殿齊輯),290,潘曾瑩,编輯,男,None
324,37,國朝閨閣詩鈔﹕一百種一百卷(清蔡殿齊輯),291,湯雲林,校閲,男,None
370,37,國朝閨閣詩鈔﹕一百種一百卷(清蔡殿齊輯),67,姚德耀,作者,女,None
282,37,國朝閨閣詩鈔﹕一百種一百卷(清蔡殿齊輯),93,朱鎮,作者,女,None
285,37,國朝閨閣詩鈔﹕一百種一百卷(清蔡殿齊輯),241,錢鳳綸,作者,女,None
287,37,國朝閨閣詩鈔﹕一百種一百卷(清蔡殿齊輯),235,錢孟鈿,作者,女,None
397,37,國朝閨閣詩鈔﹕一百種一百卷(清蔡殿齊輯),750,鍾令嘉,作者,女,None
396,37,國朝閨閣詩鈔﹕一百種一百卷(清蔡殿齊輯),691,張令儀,作者,女,None
394,37,國朝閨閣詩鈔﹕一百種一百卷(清蔡殿齊輯),295,雷壽南,校閲,男,None
293,37,國朝閨閣詩鈔﹕一百種一百卷(清蔡殿齊輯),119,嚴蕊珠,作者,女,None
393,37,國朝閨閣詩鈔﹕一百種一百卷(清蔡殿齊輯),1136,楊鳳姝,作者,女,None
297,37,國朝閨閣詩鈔﹕一百種一百卷(清蔡殿齊輯),77,沈蕙玉,作者,女,None
323,37,國朝閨閣詩鈔﹕一百種一百卷(清蔡殿齊輯),128,譚紫瓔,作者,女,None
298,37,國朝閨閣詩鈔﹕一百種一百卷(清蔡殿齊輯),65,陳淑秀,作者,女,None
302,37,國朝閨閣詩鈔﹕一百種一百卷(清蔡殿齊輯),24,沈纕,作者,女,None
382,37,國朝閨閣詩鈔﹕一百種一百卷(清蔡殿齊輯),71,許權,作者,女,None
309,37,國朝閨閣詩鈔﹕一百種一百卷(清蔡殿齊輯),105,帥翰階,作者,女,None
239,37,國朝閨閣詩鈔﹕一百種一百卷(清蔡殿齊輯),74,杭澄,作者,女,None
312,37,國朝閨閣詩鈔﹕一百種一百卷(清蔡殿齊輯),70,蘇世璋,作者,女,None
315,37,國朝閨閣詩鈔﹕一百種一百卷(清蔡殿齊輯),109,孫蓀意,作者,女,None
377,37,國朝閨閣詩鈔﹕一百種一百卷(清蔡殿齊輯),63,徐德音,作者,女,None
318,37,國朝閨閣詩鈔﹕一百種一百卷(清蔡殿齊輯),243,孫雲鳳,作者,女,None
371,37,國朝閨閣詩鈔﹕一百種一百卷(清蔡殿齊輯),122,夏伊蘭,作者,女,None
386,37,國朝閨閣詩鈔﹕一百種一百卷(清蔡殿齊輯),87,許燕珍,作者,女,None
310,37,國朝閨閣詩鈔﹕一百種一百卷(清蔡殿齊輯),97,宋鳴瓊,作者,女,None
357,37,國朝閨閣詩鈔﹕一百種一百卷(清蔡殿齊輯),202,席佩蘭,作者,女,None
236,37,國朝閨閣詩鈔﹕一百種一百卷(清蔡殿齊輯),113,郭佩蘭,作者,女,None
214,37,國朝閨閣詩鈔﹕一百種一百卷(清蔡殿齊輯),573,蔡琬,作者,女,None
141,37,國朝閨閣詩鈔﹕一百種一百卷(清蔡殿齊輯),42,吳綃,作者,女,None
211,37,國朝閨閣詩鈔﹕一百種一百卷(清蔡殿齊輯),137,范漣,作者,女,None
165,37,國朝閨閣詩鈔﹕一百種一百卷(清蔡殿齊輯),797,紀瓊,作者,女,None
202,37,國朝閨閣詩鈔﹕一百種一百卷(清蔡殿齊輯),46,陳皖永,作者,女,None
200,37,國朝閨閣詩鈔﹕一百種一百卷(清蔡殿齊輯),292,張馥,校閲,男,None
216,37,國朝閨閣詩鈔﹕一百種一百卷(清蔡殿齊輯),129,傅紫璘,作者,女,None
195,37,國朝閨閣詩鈔﹕一百種一百卷(清蔡殿齊輯),132,張襄,作者,女,None
192,37,國朝閨閣詩鈔﹕一百種一百卷(清蔡殿齊輯),78,張因,作者,女,None
190,37,國朝閨閣詩鈔﹕一百種一百卷(清蔡殿齊輯),76,張佛繡,作者,女,None
188,37,國朝閨閣詩鈔﹕一百種一百卷(清蔡殿齊輯),61,張藻,作者,女,None
187,37,國朝閨閣詩鈔﹕一百種一百卷(清蔡殿齊輯),88,張芬,作者,女,None
40,37,國朝閨閣詩鈔﹕一百種一百卷(清蔡殿齊輯),288,蔡殿齊,编輯,男,None
155,37,國朝閨閣詩鈔﹕一百種一百卷(清蔡殿齊輯),537,馮嫺,作者,女,None
194,37,國朝閨閣詩鈔﹕一百種一百卷(清蔡殿齊輯),136,章孝貞,作者,女,None
217,37,國朝閨閣詩鈔﹕一百種一百卷(清蔡殿齊輯),289,甘晉,傳記作者,男,None
237,37,國朝閨閣詩鈔﹕一百種一百卷(清蔡殿齊輯),126,郭潤玉,作者,女,None
219,37,國朝閨閣詩鈔﹕一百種一百卷(清蔡殿齊輯),80,高景芳,作者,女,None
235,37,國朝閨閣詩鈔﹕一百種一百卷(清蔡殿齊輯),98,郭芬,作者,女,None
234,37,國朝閨閣詩鈔﹕一百種一百卷(清蔡殿齊輯),167,歸懋儀,作者,女,None
103,37,國朝閨閣詩鈔﹕一百種一百卷(清蔡殿齊輯),294,歐陽士玉,校閲,男,None
110,37,國朝閨閣詩鈔﹕一百種一百卷(清蔡殿齊輯),75,李葆素,作者,女,own
218,37,國朝閨閣詩鈔﹕一百種一百卷(清蔡殿齊輯),135,甘啟華,作者,女,None
