"wcID","workID","poetID","role","date"
504,20,13,"作者",""
239,37,136,"作者",""
240,37,132,"作者",""
241,16,381,"題辭",""
505,20,14,"作者",""
243,50,350,"題辭","1848"
244,52,394,"題辭","1827"
245,37,292,"校閲",""
246,61,195,"作者",""
247,37,46,"作者",""
248,61,205,"作者",""
249,61,218,"作者",""
250,15,354,"題辭",""
251,15,355,"題辭",""
252,47,339,"墓志詺作者",""
253,61,229,"作者",""
564,67,429,"主要作者",""
255,52,395,"題辭","1827"
466,37,137,"作者",""
257,37,72,"作者",""
258,61,214,"作者",""
479,37,573,"作者",""
261,15,356,"題辭",""
263,37,129,"作者",""
264,37,289,"傳記作者",""
265,37,135,"作者",""
266,37,80,"作者",""
267,61,216,"作者",""
268,37,124,"作者",""
269,61,231,"作者",""
270,37,170,"作者",""
271,61,170,"作者",""
272,37,96,"作者",""
273,61,158,"作者",""
274,22,440,"題辭","1915"
275,37,43,"作者",""
276,16,377,"題辭",""
277,37,133,"作者",""
278,61,178,"作者",""
279,61,190,"作者",""
280,61,167,"作者",""
281,37,167,"作者",""
285,37,98,"作者",""
286,37,113,"作者",""
287,37,126,"作者",""
288,59,448,"題辭",""
289,37,74,"作者",""
290,37,55,"作者",""
291,37,118,"作者",""
292,61,253,"作者",""
465,37,59,"作者",""
295,37,89,"作者",""
501,37,1095,"作者",""
298,37,111,"作者",""
299,61,188,"作者",""
300,61,185,"作者",""
301,61,172,"作者",""
480,37,586,"作者",""
464,37,90,"作者",""
304,61,90,"作者",""
305,37,95,"作者",""
306,57,425,"跋作者","1853"
307,37,104,"作者",""
308,37,100,"作者",""
310,61,249,"作者",""
311,37,52,"作者",""
312,16,378,"題辭",""
313,37,81,"作者",""
314,61,259,"作者",""
315,37,68,"作者",""
316,61,163,"作者",""
317,37,108,"作者",""
318,57,427,"題辭",""
319,58,435,"題辭",""
478,58,434,"題辭",""
321,22,438,"題辭",""
322,61,207,"作者",""
324,61,232,"作者",""
327,61,206,"作者",""
329,37,131,"作者",""
330,37,60,"作者",""
331,37,293,"校閲",""
332,61,257,"作者",""
502,37,652,"作者",""
335,37,91,"作者",""
337,37,92,"作者",""
338,37,290,"编輯",""
339,12,414,"題辭","1875"
472,37,48,"作者",""
342,37,93,"作者",""
343,61,208,"作者",""
344,61,189,"作者",""
345,37,241,"作者",""
346,61,241,"作者",""
347,37,235,"作者",""
348,61,235,"作者",""
349,61,204,"作者",""
350,16,310,"題辭",""
351,61,244,"作者",""
352,61,247,"作者",""
353,37,119,"作者",""
354,61,227,"作者",""
355,61,230,"作者",""
356,10,386,"題辭",""
357,37,77,"作者",""
584,37,65,"作者",""
359,61,258,"作者",""
360,61,161,"作者",""
361,17,476,"校閲",""
362,37,24,"作者",""
363,61,24,"作者",""
364,17,477,"校閲",""
365,61,250,"作者",""
366,16,372,"題辭",""
367,61,184,"作者",""
368,57,424,"跋作者",""
369,37,105,"作者",""
370,37,97,"作者",""
372,61,171,"作者",""
373,37,70,"作者",""
374,16,369,"題辭",""
375,61,109,"作者",""
376,37,109,"作者",""
377,16,375,"題辭",""
378,61,255,"作者",""
380,37,243,"作者",""
381,61,243,"作者",""
382,61,209,"作者",""
383,47,340,"題辭","1830"
384,61,211,"作者",""
385,37,128,"作者",""
386,37,291,"校閲",""
387,61,203,"作者",""
388,61,217,"作者",""
390,37,139,"作者",""
391,37,82,"作者",""
392,37,127,"作者",""
393,40,309,"编輯",""
394,37,47,"作者",""
395,37,134,"作者",""
396,37,116,"作者",""
397,37,130,"作者",""
398,37,165,"作者",""
399,61,165,"作者",""
469,63,467,"題辭","1911"
402,61,228,"作者",""
403,37,123,"作者",""
404,61,457,"題辭",""
405,37,79,"作者",""
406,61,222,"作者",""
473,37,528,"作者",""
409,52,389,"校閲","1828"
410,61,238,"作者",""
411,52,390,"校閲","1828"
412,37,62,"作者",""
413,37,524,"作者",""
414,61,198,"作者",""
416,61,42,"作者",""
417,61,256,"作者",""
418,37,125,"作者",""
419,61,199,"作者",""
422,37,85,"作者",""
423,21,85,"作者",""
424,61,202,"作者",""
425,37,202,"作者",""
468,37,44,"作者",""
427,37,112,"作者",""
428,21,112,"作者",""
575,31,267,"題辭","1874"
431,15,357,"題辭",""
432,16,308,"題辭",""
433,10,210,"題辭",""
434,37,37,"作者",""
435,37,101,"作者",""
583,37,240,"作者",""
437,40,312,"跋作者",""
438,37,86,"作者",""
439,37,67,"作者",""
440,37,122,"作者",""
441,61,196,"作者",""
444,26,279,"墓志詺作者",""
445,61,213,"作者",""
446,61,168,"作者",""
447,61,194,"作者",""
448,37,63,"作者",""
449,16,373,"題辭",""
544,17,474,"凡例作者",""
451,57,313,"題辭",""
452,16,383,"附記作者","1875"
453,37,71,"作者",""
454,61,234,"作者",""
455,9,328,"校閲",""
456,9,328,"跋作者","1843"
457,37,87,"作者",""
458,61,237,"作者",""
459,16,374,"題辭",""
460,58,278,"主要作者",""
461,61,220,"作者",""
462,16,380,"題辭",""
586,35,202,"作者",""
499,37,1136,"作者",""
476,37,295,"校閲",""
481,36,547,"主要作者",""
484,37,691,"作者",""
485,37,750,"作者",""
579,21,1380,"作者",""
506,20,15,"作者",""
507,20,16,"作者",""
508,20,17,"作者",""
509,21,1380,"编輯",""
510,21,88,"作者",""
511,21,19,"作者",""
512,21,20,"作者",""
513,21,22,"作者",""
514,21,90,"作者",""
515,21,24,"作者",""
516,21,26,"作者",""
517,21,27,"作者",""
518,21,28,"序作者","1788"
519,37,288,"序作者","1844"
520,48,145,"主要作者","1873"
523,49,145,"主要作者",""
524,39,301,"輓詞作者",""
525,43,327,"墓志詺作者",""
526,26,154,"跋作者","1896"
538,14,332,"序作者",""
