"subworkID","workID","swTitleHZ","swTitlePY"
87,37,"瑤草珠華閣詩鈔﹕一卷","Yao cao zhu hua ge shi chao: 1 juan"
88,37,"澹蘜軒詩稿﹕一卷","Dan ju xuan shi gao: 1 juan"
89,37,"吟紅閣詩鈔﹕一卷","Yin hong ge shi chao: 1 juan"
90,37,"綠窗吟稿﹕一卷","Lü chuang yin gao: 1 juan"
91,37,"繡篋小集﹕一卷","Xiu qie xiao ji: 1 juan"
92,37,"養花軒詩鈔﹕一卷","Yang hua xuan shi chao: 1 juan"
93,37,"簪花閣詩鈔﹕一卷","Zan hua ge shi chao: 1 juan"
94,37,"自然好學齋詩集﹕一卷","Zi ran hao xue zhai shi ji: 1 juan"
95,37,"繡吟樓詩鈔﹕一卷","Xiu yin lou shi chao: 1 juan"
96,37,"鵠吟樓詩鈔﹕一卷","Hu yin lou shi chao: 1 juan"
97,37,"印月樓詩集﹕一卷","Yin yue lou shi ji: 1 juan"
98,37,"小鷗波館詩鈔﹕一卷","Xiao ou bo guan shi chao: 1 juan"
99,37,"錦槎軒詩稿﹕一卷","Jin cha xuan shi gao: 1 juan"
100,37,"絮雪吟﹕一卷","Xu xue yin: 1 juan"
101,37,"敏求齋詩集﹕一卷","Min qiu zhai shi ji: 1 juan"
102,37,"焚餘小草﹕一卷","Fen yu xiao cao: 1 juan"
103,37,"鏡倚樓小稿﹕一卷","Jing yi lou xiao gao: 1 juan"
104,37,"佩湘詩稿﹕一卷","Pei xiang shi gao: 1 juan"
105,37,"花鳳樓吟稿﹕一卷","Hua feng lou yin gao: 1 juan"
106,37,"韻香書室吟稿﹕一卷","Yun xiang shu shi yin gao: 1 juan"
107,20,"碧香女史遺草﹕一卷","Bi xiang ge nü shi yi cao: 1 juan"
108,20,"綺泉女史遺草﹕一卷","Qi quan nü shi yi cao: 1 juan"
109,20,"瑤泉女史遺草﹕一卷","Yao quan nü shi yi cao: 1 juan"
110,20,"辟塵軒詩鈔﹕一卷","Pi chen xuan shi chao: 1 juan"
111,20,"綺雲闈遺草﹕一卷","Qi yun wei yi cao: 1 juan"
112,21,"清溪詩稿﹕一卷","Qing xi shi gao: 1 juan"
113,21,"兩面樓詩稿﹕一卷","Liang mian lou shi gao: 1 juan"
114,21,"賞奇樓蠹餘稿﹕一卷","Shang qi lou du yu gao: 1 juan"
115,21,"琴好樓小製﹕一卷","Qin hao lou xiao zhi: 1 juan"
116,21,"采香樓詩集﹕一卷","Cai xiang lou shi cao: 1 juan"
117,21,"修竹廬吟稿﹕一卷","Xiu zhu lu yin gao: 1 juan"
118,21,"青藜閣集﹕一卷","Qing li ge ji: 1 juan"
119,21,"翡翠樓集﹕一卷﹐浣紗詞﹕一卷","Fei cui lou ji: 1 juan, huan sha ci: 1 juan"
120,21,"曉春閣詩稿﹕一卷","Xiao chun ge shi ji: 1 juan"
121,21,"停雲閣詩稿﹕一卷","Ting yun ge shi gao: 1 juan"
122,21,"愛蘭詩鈔﹕一卷","Ai lan shi chao: 1 juan"
123,21,"翡翠林雅集﹕一卷","Fei cui lou ya ji: 1 juan"
124,21,"簫譜﹕一卷","Xiao pu: 1 juan"
125,23,"夢湘樓詩稿﹕二卷﹐詞稿﹕一卷","Meng xiang lou shi gao: yi juan, ci gao: 1 juan"
126,23,"繭香館吟艸﹕一卷","Jian xiang guan yin cao: 1 juan"
127,23,"繡餘詞草﹕一卷","Xiu yu ci cao: 1 juan"
128,20,"仲貽鑾遺詩","Zhong Yiluan yi shi"

The free trial of MDB ACCDB Viewer exports only half of the records in each table.
