"prID","poetID","regionID"
1791,734,4
585,735,16
586,736,192
587,737,133
588,738,83
589,740,264
590,741,265
1816,742,229
592,743,217
593,744,206
594,745,124
1281,746,308
1792,748,4
601,749,267
602,750,152
604,752,79
605,753,217
606,754,206
607,755,206
1282,756,308
609,757,269
611,758,225
612,759,50
613,760,270
614,761,25
615,762,271
617,763,70
618,764,225
619,765,225
620,766,273
621,767,274
622,768,218
623,769,48
624,770,235
625,771,122
626,772,176
627,773,64
628,774,275
629,775,245
630,776,165
631,777,256
632,778,39
633,779,58
634,780,167
637,783,141
638,784,217
639,785,50
640,786,276
3124,374,10
642,20,25
643,26,48
644,788,48
645,78,178
647,790,113
648,791,277
650,793,147
651,794,50
652,795,89
653,796,93
654,797,192
656,799,25
657,800,25
658,801,133
659,802,279
660,803,280
661,804,75
662,805,25
663,807,122
664,808,217
665,809,281
666,810,141
667,812,70
668,813,50
669,814,58
670,815,208
671,816,282
672,817,283
673,818,224
674,819,121
675,820,121
676,821,25
677,822,18
678,823,284
679,824,121
680,825,88
681,826,285
682,827,286
683,828,201
684,830,287
685,829,113
686,831,288
1283,832,308
688,833,208
689,834,124
690,835,289
691,836,290
692,837,291
693,838,58
694,839,122
695,840,93
1284,841,308
697,842,121
698,843,292
699,844,58
700,845,293
701,846,132
702,847,83
703,848,39
704,849,110
705,850,224
706,851,16
707,852,113
708,853,141
709,854,25
710,856,255
711,857,66
712,858,66
713,859,39
714,860,39
715,861,294
716,862,48
717,863,141
718,864,295
719,865,295
720,866,16
721,867,25
722,868,296
723,869,247
724,870,66
725,871,297
726,872,197
727,873,60
728,874,298
729,875,197
730,876,299
731,878,301
732,879,39
733,880,48
734,881,302
735,882,303
736,883,275
737,884,275
739,886,304
740,887,113
741,888,58
742,889,154
743,890,212
744,891,212
745,892,167
746,893,48
747,894,217
1285,895,308
749,896,281
750,897,10
751,898,70
752,899,305
753,900,275
754,901,58
755,902,120
756,903,306
757,905,121
1002,1173,110
1793,907,4
760,908,63
761,909,173
762,910,58
763,912,84
764,913,307
765,915,25
766,916,110
767,917,308
768,919,93
769,918,309
770,920,308
771,922,122
772,923,122
773,924,149
774,925,48
1452,1642,275
776,927,310
777,928,310
778,929,310
779,930,75
780,931,311
3196,314,58
782,933,312
783,934,57
784,935,10
785,936,64
786,937,313
787,938,10
788,939,110
789,940,110
790,941,144
791,942,314
792,943,315
793,944,189
794,945,316
795,946,317
796,947,212
797,954,135
798,955,135
799,972,318
800,975,110
801,976,50
802,977,110
803,978,149
804,979,39
805,980,48
806,981,39
807,982,196
3258,984,627
809,983,110
810,985,48
811,987,18
812,986,108
3405,988,60
814,989,110
815,990,79
816,991,269
817,992,10
818,994,217
1016,1188,204
2589,3548,1028
821,996,94
822,997,122
823,998,187
824,999,58
825,1000,206
826,1001,187
827,1002,120
828,1003,120
3406,1004,132
830,1005,48
831,1006,320
832,1007,284
833,1008,184
834,1009,245
835,1010,120
836,1011,184
837,1012,321
838,1013,321
839,1014,321
840,1015,321
841,1016,171
842,1017,322
843,1018,323
844,1019,206
845,1020,72
1920,1021,324
847,1022,325
848,1023,326
849,1024,327
850,1025,66
851,1026,18
852,1027,88
853,1029,219
854,1030,304
855,1031,10
856,1032,110
857,1033,48
858,1034,48
3413,1035,10
860,1036,110
861,1037,122
862,1038,113
863,1039,26
864,1040,58
865,1041,18
866,1042,121
867,1043,206
868,1044,329
869,1045,330
870,1046,110
871,1047,75
872,1048,208
873,1049,331
874,1050,132
875,1051,214
876,1052,48
877,1053,121
878,1054,76
879,1055,332
880,1056,332
881,1057,63
882,1058,99
883,1059,191
884,1061,43
885,1062,10
886,1063,120
887,1064,27
3509,4492,1184
3485,911,1179
890,914,197
891,1028,197
892,1066,187
893,1067,10
1321,1079,191
895,1069,68
896,1070,247
897,1071,192
898,1072,75
899,1073,333
900,1074,19
901,1075,75
902,1076,217
903,1077,39
904,1078,149
1322,1476,133
906,1080,110
907,1081,10
908,1083,10
909,1084,48
910,1085,144
911,1086,48
912,1087,48
913,1088,334
914,1089,57
915,1090,48
916,1091,66
917,1092,197
918,1093,167
919,1094,39
920,1095,191
921,1096,335
922,1097,26
923,1098,26
924,1099,99
3431,1100,431
3430,1101,431
927,1102,66
928,1103,25
929,1104,93
930,1105,336
931,1106,217
932,1107,121
933,1108,113
934,1109,197
935,1110,18
936,1111,58
937,1112,10
938,1113,196
939,1114,233
940,1115,25
941,1116,319
942,1117,197
943,1118,337
944,1119,122
945,1120,217
3420,1121,928
947,542,192
1470,1659,113
949,1123,339
950,1124,2
951,1125,340
952,1126,341
953,1127,113
954,1128,72
955,1129,342
956,1130,176
957,1131,133
958,1132,343
959,1133,10
960,1134,121
961,1135,66
962,1136,25
964,1138,217
965,921,113
966,1139,93
967,1140,323
968,1141,191
969,1142,64
970,1143,337
971,1144,25
2569,3740,1075
973,1146,50
974,71,30
976,1148,118
977,1149,345
978,1150,206
979,1151,75
1015,1187,154
981,1153,75
982,1156,121
2583,3300,1082
984,1158,346
985,806,197
986,855,113
987,904,197
988,1159,10
989,1160,347
990,1161,110
991,1162,233
992,1163,110
993,1164,167
994,1165,18
995,1166,76
996,1167,295
997,1168,93
998,1169,76
999,1170,197
1000,1171,48
1001,1172,348
1003,1174,349
1004,1175,76
1005,1176,350
1006,1177,351
1007,1178,10
1008,1179,275
1009,1180,352
1010,1181,110
1011,1182,353
1012,1183,354
1013,1184,93
1014,1185,93
1861,2094,496
1232,1338,83
1020,1192,299
1021,1193,224
1022,1194,255
1271,451,403
1024,1196,166
1025,1197,329
1026,1198,124
1027,1199,308
1028,1200,165
1029,1201,171
1030,1202,358
1031,1203,206
1815,1204,299
1033,1205,141
1034,1206,110
1035,1207,167
1036,1208,70
1037,1210,150
1038,1211,178
1039,1212,255
1040,1213,48
1041,1214,187
1042,1215,360
1043,1216,361
1044,1217,79
1045,1218,25
1046,1219,110
1047,1220,58
1048,1221,362
1049,1222,329
3412,1223,141
1051,1224,363
1052,1225,364
1053,1226,365
1054,1227,366
1055,1228,56
1056,1229,167
1057,1230,367
1058,1231,197
1059,1232,368
1060,1233,25
1061,1234,369
1062,1235,306
1063,1236,176
1064,1237,225
1065,1238,370
1066,1239,176
1067,1240,196
1068,1241,63
1069,1242,371
1070,1243,206
1071,1244,110
1072,1245,79
1073,1246,63
1074,1247,56
1075,1248,39
1076,1249,137
1077,1250,56
1078,1251,308
1079,1252,206
2612,1253,1084
1081,1254,308
1082,1255,206
1083,1256,176
3197,3485,187
1085,1258,176
1086,1259,206
1087,1260,66
1088,1261,308
1089,1262,192
1090,1263,58
3664,2959,1123
1092,1265,94
1093,1266,10
1094,1267,372
1095,1268,93
1096,1269,201
1097,1270,192
1098,1271,110
1099,1272,373
1100,1273,374
1101,1274,375
1102,1275,376
1103,1276,377
1104,1277,113
1105,1278,57
1106,1279,10
1107,1280,215
1108,1281,224
1109,1282,167
1110,1283,378
1111,1284,176
1112,1285,275
1113,1286,63
1114,1287,150
1115,1288,153
1116,1289,26
1117,1290,110
1118,1291,298
1119,1292,379
1120,1293,379
5903,7562,239
1122,1295,84
1123,1296,192
1124,1297,196
1125,1298,375
1126,1299,339
1127,1300,38
1128,1301,380
1129,1302,381
1130,1303,264
1131,1304,176
1132,1305,97
1133,1306,382
1134,1307,16
1135,1308,316
1136,1309,25
1137,1310,383
1138,1311,58
6465,8166,110
6462,1312,269
1141,1314,384
3414,1315,1168
1143,1317,385
1144,1318,386
1145,1319,387
1146,1320,388
1147,1322,110
1148,1321,313
1149,1323,99
1150,1324,48
1151,1325,389
1152,1326,197
1153,1327,217
1154,1328,133
1155,1329,200
1156,1330,66
1157,92,50
1159,1332,390
1160,1333,391
1161,1334,391
1163,1335,120
1164,1336,392
1165,1337,39
1233,1405,184
1167,1339,393
1168,1340,58
1169,1341,201
1170,1342,93
1171,1343,75
1172,1345,93
1173,1344,50
1174,1346,63
1175,1347,16
3193,3461,1121
1177,1349,110
1178,1350,93
1179,1351,394
1180,1352,16
1181,1353,250
1182,1354,93
1183,1355,64
1184,1356,110
1185,1357,110
1186,1358,25
1187,1359,72
1188,1360,206
1189,1361,48
1190,1362,25
1191,1363,395
1192,1364,217
1193,1365,396
1194,1366,397
1195,1367,269
1196,1368,122
1197,1369,398
1198,1370,66
1199,1371,399
