"regionID","parentRegionID","regionHZ","regionPY","VariantName","PresentdayEquivalent","PresentdayEquivalentPY"
631,516,"華亭","Huating","","上海松江","Shanghai Songjiang"
632,524,"邛州","Qiongzhou","","四川邛崍","Sichuan Qionglai"
633,0,"北魏(南北朝)","Beiwei","","",""
634,633,"霸城","Bacheng","","陝西西安","Shanxi Xi'an"
638,0,"京畿道(唐)","Jingji Dao","","",""
639,0,"都畿道(唐)","Duji Dao","","",""
640,0,"山南東道(唐)","Shannandong Dao","","",""
641,0,"山南西道(唐)","Shannanxi Dao","","",""
642,0,"淮南道(唐)","Huainan Dao","","",""
643,0,"黔中道(唐)","Qianzhong Dao","","",""
644,0,"隴右道(唐)","Longyou Dao","","",""
645,0,"岭南道(唐)","Lingnan Dao","","",""
646,0,"梁(五代)","Liang","","",""
647,0,"晉(五代)","Jin","","",""
648,0,"歧(五代)","Qi","","",""
649,0,"唐(五代)","Tang","","",""
650,0,"漢(五代)","Han","","",""
651,0,"周(五代)","Zhou","","",""
652,0,"北漢(五代)","Beihan","","",""
653,0,"吳(五代)","Wu","","",""
654,0,"吳越(五代)","Wuyue","","",""
655,0,"閔(五代)","Min","","",""
656,0,"南唐(五代)","Nantang","","",""
657,0,"蜀(五代)","Shu","","",""
770,657,"臨卬","Lin'ang","","四川邛崍","Sichuan Qionglai"
659,0,"南漢(五代)","Nanhan","","",""
660,0,"楚(五代)","Chu","","",""
661,0,"南平(五代)","Nanping","","",""
662,0,"長和(五代)","Changhe","","",""
663,0,"河南諸郡(隋)","Henan Zhujun","","",""
664,0,"關隴諸郡(隋)","Guanlong Zhujun","","",""
665,0,"河西諸郡(隋)","Hexi Zhujun","","",""
666,0,"巴漢諸郡(隋)","Bahan Zhujun","","",""
667,0,"岷蜀諸郡(隋)","Minshu Zhujun","","",""
668,0,"河北諸郡(隋)","Hebei Zhujun","","",""
669,0,"河東諸郡(隋)","Hedong Zhujun","","",""
670,0,"遼西諸郡(隋)","Liaoxi Zhujun","","",""
671,0,"淮南江表諸郡(隋)","Huainan Jiangbiao Zhujun","","",""
672,0,"岭南諸郡(隋)","Lingnan Zhujun","","",""
673,0,"江漢沅湘諸郡(隋)","Jiang Han Yuan Xiang Zhujun","","",""
674,0,"南寧地區(隋)","Nanning Diqu","","",""
675,0,"東晉(東晉十六國)","Dongjin","","",""
676,0,"成(東晉十六國)","Cheng","","",""
677,0,"前趙(東晉十六國)","Qianzhao","","",""
678,0,"前涼(東晉十六國)","Qianliang","","",""
679,0,"後趙(東晉十六國)","Houzhao","","",""
680,0,"前秦(東晉十六國)","Qianqin","","",""
681,0,"前燕(東晉十六國)","Qianyan","","",""
682,0,"代(東晉十六國)","Dai","","",""
683,0,"後秦(東晉十六國)","Houqin","","",""
684,0,"後燕(東晉十六國)","Houyan","","",""
685,0,"西秦(東晉十六國)","Xiqin","","",""
686,0,"後涼(東晉十六國)","Houliang","","",""
694,0,"司州(魏-三國)","Sizhou","","",""
688,0,"南涼(東晉十六國)","Nanliang","","",""
689,0,"北涼(東晉十六國)","Beiliang","","",""
690,0,"西涼(東晉十六國)","Xiliang","","",""
691,0,"南燕(東晉十六國)","Nanyan","","",""
692,0,"夏(東晉十六國)","Xia","","",""
693,0,"北燕(東晉十六國)","Beiyan","","",""
695,0,"兗州(魏-三國)","Yanzhou","","",""
696,0,"豫州(魏-三國)","Yuzhou","","",""
697,0,"揚州(魏-三國)","Yangzhou","","",""
698,0,"徐州(魏-三國)","Xuzhou","","",""
699,0,"青州(魏-三國)","Qingzhou","","",""
700,0,"冀州(魏-三國)","Jizhou","","",""
701,0,"并州(魏-三國)","Bingzhou","","",""
702,0,"幽州(魏-三國)","Youzhou","","",""
703,0,"雍州(魏-三國)","Yongzhou","","",""
704,0,"涼州(魏-三國)","Liangzhou","","",""
705,0,"荊州(魏-三國)","Jingzhou","","",""
706,0,"西域長史府(魏-三國)","Xiyu Zhangshifu","","",""
707,0,"益州(蜀漢-三國)","Yizhou","","",""
708,0,"揚州(吳-三國)","Yangzhou","","",""
709,0,"荊州(吳-三國)","Jingzhou","","",""
710,0,"交州(吳-三國)","Jiaozhou","","",""
711,0,"司州(西晉)","Sizhou","","",""
712,0,"兗州(西晉)","Yanzhou","","",""
713,0,"豫州(西晉)","Yuzhou","","",""
714,0,"冀州(西晉)","Jizhou","","",""
715,0,"并州(西晉)","Bingzhou","","",""
716,0,"幽州(西晉)","Youzhou","","",""
717,0,"平州(西晉)","Pingzhou","","",""
718,0,"雍州(西晉)","Yongzhou","","",""
719,0,"秦州(西晉)","Qinzhou","","",""
720,0,"涼州(西晉)","Liangzhou","","",""
721,0,"梁州(西晉)","Liangzhou","","",""
722,0,"益州(西晉)","Yizhou","","",""
723,0,"寧州(西晉)","Ningzhou","","",""
724,0,"青州(西晉)","Qingzhou","","",""
725,0,"徐州(西晉)","Xuzhou","","",""
726,0,"荊州(西晉)","Jingzhou","","",""
727,0,"揚州(西晉)","Yangzhou","","",""
728,0,"交州(西晉)","Jiaozhou","","",""
729,0,"廣州(西晉)","Guangzhou","","",""
730,0,"西域長史府(西晉)","Xiyu Zhangshifu","","",""
731,0,"關中諸郡(秦)","Guanzhong Zhujun","","",""
732,0,"山東南部諸郡(秦)","Shandong Nanbu Zhujun","","",""
733,0,"山東北部諸郡(秦)","Shandong Beibu Zhujun","","",""
734,0,"淮漢以南諸郡(秦)","Huaihan Yinan Zhujun","","",""
735,0,"司隸部(西漢)","Sili Bu","","",""
736,0,"并州刺史部(西漢)","Bingzhou Cishibu","","",""
737,0,"朔方刺史部(西漢)","Shuofang Cishibu","","",""
738,0,"兗州刺史部(西漢)","Yanzhou Cishibu","","",""
739,0,"豫州刺史部(西漢)","Yuzhou Cishibu","","",""
740,0,"青州刺史部(西漢)","Qingzhou Cishibu","","",""
741,0,"徐州刺史部(西漢)","Xuzhou Cishibu","","",""
742,0,"東郡北海間諸郡(西漢)","Dongjun Beihai Jian Zhujun","","",""
743,0,"荊州刺史部(西漢)","Jingzhou Cishibu","","",""
744,0,"揚州刺史部(西漢)","Yangzhou Cishibu","","",""
745,0,"冀州刺史部(西漢)","Jizhou Cishibu","","",""
746,0,"幽州刺史部(西漢)","Youzhou Cishibu","","",""
747,0,"益州刺史部(西漢)","Yizhou Cishibu","","",""
749,0,"涼州刺史部(西漢)","Liangzhou Cishibu","","",""
750,0,"交阯刺史部(西漢)","Jiaozhi Cishibu","","",""
751,0,"西域都護府(西漢)","Xiyu Duhufu","","",""
752,0,"匈奴等部(西漢)","Xiongnu Deng Bu","","",""
753,0,"司隸校尉部(東漢)","Sili Jiaowei Bu","","",""
754,0,"豫州刺史部(東漢)","Yuzhou Cishibu","","",""
755,0,"兗州刺史部(東漢)","Yanzhou Cishibu","","",""
756,0,"徐州刺史部(東漢)","Xuzhou Cishibu","","",""
757,0,"青州刺史部(東漢)","Qingzhou Cishibu","","",""
758,0,"東郡齊國間諸郡(東漢)","Dongjun Qiguo Jian Zhujun","","",""
759,0,"冀州刺史部(東漢)","Jizhou Cishibu","","",""
