StartYear,None,七言古詩,七言律詩,七言排律,七言絕句,七言聯句,三言詩,五言古詩,五言律詩,五言排律,五言絕句,五言聯句,偈,六言詩,其他,四言詩,未定,樂府,雜言詩,騒體
1697,0,1,9,0,15,0,0,1,3,0,1,0,0,1,0,1,0,1,0,0
1700,0,0,25,0,15,0,0,0,18,0,16,0,0,0,0,0,0,0,0,0
1702,0,25,53,0,38,0,0,28,39,1,10,0,0,0,0,0,0,0,4,0
1705,0,0,2,0,3,0,0,2,3,0,1,0,0,0,0,0,0,3,1,0
1706,0,0,2,0,3,0,0,1,7,0,0,0,0,0,0,0,0,0,0,0
1707,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1708,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1709,0,13,59,2,84,0,0,36,68,3,19,0,0,1,0,0,0,0,0,0
1710,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1711,0,5,31,1,107,0,0,1,16,0,14,0,0,3,0,1,0,1,0,0
1712,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1713,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1714,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1715,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1716,0,1,6,0,4,0,0,1,3,1,1,0,0,0,0,0,0,0,0,0
1717,0,2,2,0,1,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0
1719,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1720,3,40,71,0,77,0,0,83,54,9,40,0,0,3,0,7,0,5,7,3
1721,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
1723,0,3,30,0,23,0,0,2,16,0,3,0,0,0,0,0,0,4,0,0
1724,0,2,17,0,20,0,0,4,25,0,4,0,0,0,0,0,0,0,0,0
1725,0,0,1,0,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
1726,1,0,36,0,8,0,0,0,10,1,1,0,0,0,0,0,0,0,0,0
1727,1,18,77,0,28,0,0,14,46,0,2,0,0,0,0,0,0,41,0,0
1728,0,1,93,1,176,0,0,4,75,3,32,0,0,1,0,0,0,1,0,0
1729,0,0,13,0,26,0,0,0,2,0,7,0,0,0,0,0,0,0,0,0
1730,0,2,7,0,7,0,0,3,1,0,0,0,0,0,0,1,0,0,0,0
1731,0,13,47,0,84,0,0,0,10,0,12,0,0,0,0,0,0,0,0,0
1732,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1733,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1734,1,1,59,0,26,0,0,1,5,2,0,0,0,0,0,0,0,0,0,0
1735,1,3,109,1,109,0,0,8,57,5,23,2,1,1,0,1,0,2,0,0
1736,3,26,317,5,566,22,2,80,299,6,97,3,0,2,1,1,0,24,3,0
1737,1,1,68,0,28,0,0,1,54,2,7,0,0,0,0,0,0,0,0,0
1738,2,2,60,1,65,0,0,22,17,0,4,0,0,0,0,0,0,5,1,0
1739,0,3,4,0,4,0,0,3,2,0,2,0,0,0,0,0,0,3,0,0
1740,1,11,106,1,59,1,0,15,16,2,6,0,0,0,0,2,0,5,0,0
1741,0,1,4,0,3,0,0,4,3,0,0,0,0,0,0,0,0,0,0,0
1742,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1743,4,14,236,5,645,6,0,21,92,9,67,10,0,4,0,5,0,10,2,1
1744,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1745,0,1,6,0,5,0,0,3,5,0,2,0,0,0,0,0,0,0,0,0
1746,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1747,0,0,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1748,0,0,86,0,94,0,0,0,46,1,14,0,0,0,0,0,0,2,0,0
1749,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1750,4,44,218,0,162,0,0,36,108,1,27,2,0,0,0,0,0,8,3,0
1751,0,11,144,4,86,7,0,19,60,8,25,1,0,0,0,0,0,2,0,0
1752,0,1,23,0,21,0,0,1,13,1,10,0,0,4,0,0,0,0,0,0
1753,0,28,55,0,10,0,0,13,43,7,10,0,0,0,0,0,0,21,6,0
1754,0,2,5,0,6,0,0,3,5,0,0,0,0,0,0,0,0,2,0,0
1755,0,3,10,0,52,0,0,4,13,0,4,0,0,0,0,1,0,2,0,0
1756,4,54,225,3,404,0,1,89,167,13,45,0,0,0,0,4,0,12,13,1
1757,1,33,372,2,227,31,0,21,128,6,9,2,0,0,0,1,0,1,0,0
1758,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1759,1,3,19,0,11,0,0,1,10,0,0,0,0,1,0,0,0,0,0,0
1760,1,2,36,0,85,0,0,3,14,1,22,0,0,0,0,0,0,1,1,0
1761,0,5,64,1,97,6,1,1,17,4,5,0,0,0,0,0,0,0,0,0
1762,3,45,477,4,658,2,0,48,202,2,25,1,0,0,0,2,0,38,18,0
1763,0,0,14,0,51,0,0,1,15,3,17,0,1,4,0,0,0,0,0,0
1764,1,15,164,6,170,0,0,42,107,15,3,0,0,0,0,0,0,3,0,0
1765,0,0,3,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1766,2,31,284,0,564,9,0,40,181,6,49,1,0,2,0,6,0,16,3,0
1767,0,1,8,0,9,2,0,2,4,0,0,0,2,0,0,0,0,0,1,0
1768,0,3,49,0,71,2,0,27,76,6,20,0,0,0,0,0,0,11,0,0
1769,1,9,71,2,108,3,0,13,38,1,5,2,0,0,0,1,0,5,1,0
1770,0,0,27,5,13,2,0,2,23,7,4,2,0,0,0,7,0,3,1,0
1771,0,5,85,1,137,6,0,6,26,2,7,2,0,2,0,0,0,4,2,0
1772,0,10,24,0,10,0,1,6,4,0,1,0,0,0,0,0,0,1,2,0
1773,1,16,105,1,156,1,0,25,71,1,32,0,0,2,0,0,0,3,1,1
1774,0,2,10,0,46,0,0,2,9,0,4,0,0,0,0,0,0,2,0,0
1775,0,2,94,0,503,2,0,9,22,2,6,2,0,0,1,1,0,6,2,1
1776,0,0,5,0,5,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0
1777,0,5,10,0,5,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0
1778,0,0,26,5,41,2,0,0,9,2,2,0,0,0,0,0,0,0,1,0
1779,0,0,3,0,16,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
1780,0,2,5,0,18,0,0,17,25,0,17,0,0,0,0,0,0,0,0,0
1781,0,5,14,0,24,1,0,14,28,2,10,0,0,0,0,2,0,0,0,0
1782,1,1,15,2,65,1,0,0,9,0,11,1,0,0,0,0,0,0,0,0
1783,0,2,5,1,10,0,0,6,5,1,1,0,0,0,0,0,0,2,0,0
1784,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1785,0,8,57,1,73,0,0,6,55,7,23,0,0,0,0,0,0,5,0,0
1786,0,1,34,0,22,0,0,0,16,1,6,0,0,0,0,0,0,1,1,0
1787,0,0,6,0,4,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0
1788,1,13,71,1,60,0,0,17,21,2,10,0,0,0,0,0,0,2,2,0
1789,0,0,27,1,20,0,0,2,4,0,3,0,0,1,0,0,0,0,0,0
1790,0,6,35,0,46,0,0,16,13,2,1,0,0,1,0,0,0,0,1,0
1791,0,1,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1792,1,1,33,0,37,0,0,7,47,3,3,0,0,0,0,1,0,3,0,0
1793,2,49,536,1,286,32,0,82,123,4,18,11,0,2,0,0,0,60,13,2
1794,0,0,11,0,10,0,0,1,4,0,2,0,0,0,0,0,0,0,1,0
1795,1,12,83,1,89,0,0,45,63,3,7,0,0,1,0,1,0,26,4,0
1796,5,52,464,9,552,5,0,53,167,17,59,0,1,3,1,7,1,16,16,1
1797,0,2,90,0,99,1,0,3,12,0,2,0,0,0,0,0,0,0,1,0
1798,0,3,29,2,35,0,0,63,32,3,3,0,0,0,0,0,0,0,0,0
1799,0,8,125,1,146,3,2,12,91,9,36,0,0,0,0,0,0,5,1,0
